_; ;#;';1;0;3;2;5;4;7;6;9;8;A;@;C;B;E;D;G;F;I;H;K;J;M;L;O;N;Q;P;S;R;U;T;W;V;Y;X;Z;a;c;b;e;d;g;f;i;h;k;j;m;l;o;n;q;p;s;r;u;t;w;v;y;x;z;
0.005681818182;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.013257575758;0.001893939394;0.015151515152;0.500000000000;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.003787878788;0.001893939394;0.001893939394;0.003787878788;0.005681818182;0.001893939394;0.001893939394;0.003787878788;0.005681818182;0.001893939394;0.001893939394;0.003787878788;0.001893939394;0.001893939394;0.003787878788;0.001893939394;0.003787878788;0.005681818182;0.007575757576;0.001893939394;0.001893939394;0.005681818182;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.001893939394;0.007575757576;0.001893939394;0.001893939394;
0.004464285714;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.008928571429;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.500000000000;0.015625000000;0.002232142857;0.002232142857;0.002232142857;0.004464285714;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.006696428571;0.002232142857;0.006696428571;0.002232142857;0.004464285714;0.002232142857;0.013392857143;0.004464285714;0.002232142857;0.008928571429;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.004464285714;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.013392857143;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;0.002232142857;
0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.012048192771;0.002409638554;0.016867469880;0.500000000000;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.004819277108;0.002409638554;0.002409638554;0.002409638554;0.004819277108;0.002409638554;0.002409638554;0.007228915663;0.004819277108;0.002409638554;0.004819277108;0.002409638554;0.004819277108;0.004819277108;0.002409638554;0.002409638554;0.009638554217;0.004819277108;0.002409638554;0.002409638554;0.004819277108;0.004819277108;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.009638554217;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;0.002409638554;
0.000759532128;0.000303812851;0.000151906426;0.000151906426;0.001367157831;0.000151906426;0.000607625703;0.000607625703;0.000759532128;0.000607625703;0.000455719277;0.000303812851;0.000151906426;0.000151906426;0.500000000000;0.000151906426;0.001822877108;0.000303812851;0.001670970682;0.002430502810;0.001063344979;0.000303812851;0.000151906426;0.000607625703;0.000151906426;0.000151906426;0.000607625703;0.000303812851;0.000151906426;0.000607625703;0.008051040559;0.000151906426;0.007139602005;0.001063344979;0.000303812851;0.000455719277;0.004101473492;0.000455719277;0.000607625703;0.004253379918;0.007139602005;0.006380069877;0.002886222087;0.000759532128;0.001519064256;0.003190034938;0.000303812851;0.001063344979;0.000607625703;0.000455719277;0.000607625703;0.000759532128;0.000607625703;0.000303812851;0.000303812851;0.000303812851;0.002886222087;0.000303812851;0.006683882728;0.001063344979;0.000151906426;0.000759532128;0.001974783533;0.001215251405;0.000151906426;0.008051040559;0.006531976303;
0.001200480192;0.001200480192;0.000300120048;0.000300120048;0.000300120048;0.003001200480;0.000900360144;0.000600240096;0.001500600240;0.001800720288;0.000900360144;0.000600240096;0.002701080432;0.002100840336;0.000600240096;0.500000000000;0.000600240096;0.000600240096;0.000900360144;0.000600240096;0.001500600240;0.001200480192;0.002701080432;0.001800720288;0.004801920768;0.001200480192;0.001200480192;0.016506602641;0.006002400960;0.001500600240;0.000300120048;0.010204081633;0.000600240096;0.000900360144;0.001500600240;0.000300120048;0.000300120048;0.000900360144;0.000600240096;0.000600240096;0.000300120048;0.000600240096;0.000300120048;0.000300120048;0.000600240096;0.000600240096;0.000900360144;0.000600240096;0.000900360144;0.002400960384;0.004201680672;0.001500600240;0.002100840336;0.005102040816;0.005102040816;0.000900360144;0.000600240096;0.004201680672;0.000300120048;0.000900360144;0.001800720288;0.001500600240;0.000300120048;0.000300120048;0.000900360144;0.000600240096;0.000300120048;
0.000660938533;0.003635161930;0.000330469266;0.000330469266;0.000330469266;0.000330469266;0.000660938533;0.000330469266;0.000330469266;0.002643754131;0.000330469266;0.000660938533;0.000660938533;0.000330469266;0.002313284865;0.000330469266;0.500000000000;0.001652346332;0.002313284865;0.006609385327;0.002643754131;0.003965631196;0.000660938533;0.000660938533;0.000330469266;0.000330469266;0.000330469266;0.000330469266;0.000330469266;0.001321877065;0.001982815598;0.000330469266;0.002643754131;0.001652346332;0.000660938533;0.000991407799;0.001321877065;0.006609385327;0.000991407799;0.007270323860;0.002313284865;0.000660938533;0.006278916061;0.001982815598;0.002313284865;0.003304692664;0.000991407799;0.002974223397;0.000991407799;0.000991407799;0.000330469266;0.000660938533;0.001982815598;0.000660938533;0.000660938533;0.001652346332;0.000991407799;0.000660938533;0.001982815598;0.002313284865;0.000660938533;0.000991407799;0.001321877065;0.008592200925;0.000991407799;0.003304692664;0.000991407799;
0.000874125874;0.005244755245;0.000874125874;0.000874125874;0.000874125874;0.000874125874;0.000874125874;0.001748251748;0.000874125874;0.000874125874;0.000874125874;0.000874125874;0.000874125874;0.000874125874;0.000874125874;0.000874125874;0.001748251748;0.500000000000;0.003496503497;0.004370629371;0.004370629371;0.004370629371;0.001748251748;0.001748251748;0.000874125874;0.001748251748;0.003496503497;0.000874125874;0.001748251748;0.003496503497;0.001748251748;0.000874125874;0.003496503497;0.001748251748;0.001748251748;0.002622377622;0.000874125874;0.005244755245;0.000874125874;0.001748251748;0.000874125874;0.000874125874;0.001748251748;0.006118881119;0.001748251748;0.003496503497;0.002622377622;0.004370629371;0.000874125874;0.001748251748;0.000874125874;0.001748251748;0.004370629371;0.000874125874;0.000874125874;0.003496503497;0.000874125874;0.000874125874;0.001748251748;0.001748251748;0.003496503497;0.001748251748;0.002622377622;0.003496503497;0.002622377622;0.000874125874;0.001748251748;
0.004354711006;0.001583531275;0.000395882819;0.000395882819;0.000791765637;0.000395882819;0.003562945368;0.001583531275;0.000395882819;0.004750593824;0.001583531275;0.001187648456;0.000395882819;0.000395882819;0.001583531275;0.000395882819;0.001979414093;0.001187648456;0.500000000000;0.003562945368;0.001583531275;0.003167062549;0.000791765637;0.001583531275;0.000395882819;0.000791765637;0.000395882819;0.000395882819;0.000395882819;0.001187648456;0.002375296912;0.000395882819;0.002375296912;0.006730007918;0.000791765637;0.001979414093;0.006730007918;0.001187648456;0.001187648456;0.001187648456;0.001187648456;0.001187648456;0.001583531275;0.001583531275;0.005938242280;0.006730007918;0.002375296912;0.006730007918;0.000791765637;0.000395882819;0.000395882819;0.001583531275;0.000395882819;0.000395882819;0.000395882819;0.000791765637;0.001187648456;0.000395882819;0.002771179731;0.004354711006;0.000791765637;0.002375296912;0.002375296912;0.002771179731;0.001187648456;0.000395882819;0.000791765637;
0.002578648788;0.001547189273;0.000515729758;0.000515729758;0.000515729758;0.000515729758;0.001547189273;0.000515729758;0.001031459515;0.001547189273;0.000515729758;0.001031459515;0.000515729758;0.000515729758;0.001031459515;0.000515729758;0.004641567818;0.002062919030;0.008767405879;0.500000000000;0.001547189273;0.004125838061;0.000515729758;0.000515729758;0.001031459515;0.000515729758;0.000515729758;0.000515729758;0.000515729758;0.001547189273;0.001547189273;0.000515729758;0.009283135637;0.002062919030;0.000515729758;0.000515729758;0.003610108303;0.003094378546;0.001547189273;0.002578648788;0.001547189273;0.001031459515;0.006188757091;0.001031459515;0.002062919030;0.006704486849;0.002062919030;0.002578648788;0.000515729758;0.000515729758;0.001031459515;0.002062919030;0.000515729758;0.000515729758;0.000515729758;0.002578648788;0.001031459515;0.000515729758;0.001031459515;0.003094378546;0.000515729758;0.000515729758;0.000515729758;0.004125838061;0.001547189273;0.002062919030;0.001031459515;
0.004950495050;0.000825082508;0.000825082508;0.000825082508;0.000825082508;0.000825082508;0.001650165017;0.001650165017;0.000825082508;0.000825082508;0.002475247525;0.002475247525;0.000825082508;0.001650165017;0.001650165017;0.000825082508;0.001650165017;0.005775577558;0.002475247525;0.000825082508;0.500000000000;0.004125412541;0.000825082508;0.004950495050;0.000825082508;0.001650165017;0.001650165017;0.001650165017;0.001650165017;0.002475247525;0.000825082508;0.000825082508;0.000825082508;0.002475247525;0.003300330033;0.002475247525;0.000825082508;0.002475247525;0.002475247525;0.001650165017;0.000825082508;0.000825082508;0.002475247525;0.003300330033;0.001650165017;0.001650165017;0.005775577558;0.002475247525;0.000825082508;0.006600660066;0.000825082508;0.000825082508;0.001650165017;0.000825082508;0.000825082508;0.002475247525;0.000825082508;0.000825082508;0.000825082508;0.001650165017;0.002475247525;0.004125412541;0.000825082508;0.000825082508;0.003300330033;0.000825082508;0.000825082508;
